Identifier,Name,ArXiV,Wikipedia,Wikidata,WordWindow,type
H,hamiltonian,1,-,-,3,global
p,momentum,5,-,-,9,global
k,constant,2,-,-,-,global
x,position,-,2,-,10,global
m,mass,1,3,2,-,global
omega,frequency,3,-,-,-,global
E,energy,1,4,2,3,global
psi,function,2,-,-,-,global
n,integer,2,-,-,-,global
pi,no match,-,-,-,-,global
e,constant,2,-,-,-,global
z,variable,5,-,-,-,global
d,no match,-,-,-,-,global
a,operators,-,-,-,1,global
i,factor,4,-,-,-,global
N,operator,-,-,-,2,global
