Identifier / Formula,Name,ArXiV,Wikipedia,Wikidata,Wikidata1,Wikidata2,WordWindow,FormulaConceptDB,type,time,manualSelectionTime
T,temperature (P2076),1,3,4,-,-,5,-,global,2859,-1
b,Wien 's displacement constant (N/A),-,-,-,-,-,-,-,global,17338,-1
L,luminosity (N/A),-,10,-,-,-,3,-,global,4297,-1
pi,constant (N/A),-,-,-,-,-,-,-,global,3568,14790
R,radius (Q173817),1,3,1,-,-,-,-,global,1566,-1
sigma,Stefan–Boltzmann constant (N/A),-,-,-,-,-,-,-,global,1752,-1
c,speed of light (Q2111),-,1,2,-,-,-,-,global,2299,-1
H,hubble constant (N/A),-,-,-,-,-,-,-,global,3408,-1
d,distance (Q126017),-,-,3,-,-,-,-,global,3813,-1
z,redshift (N/A),7,-,-,-,-,1,-,global,2417,-1
f,frequency (Q11652),-,-,1,-,-,1,-,global,1557,-1
\lambda_\text{max} T = b,Wien's displacement law (Q214336),-,-,-,1,-,-,1,global,4695,-1
L= 4 \pi R^2 \sigma T^4,luminosity (N/A),-,-,-,-,-,3,1,global,1107,-1
\frac{\lambda-\lambda_0}{\lambda_0}=\frac{v_0}{c},blueshift (Q845345),-,-,-,-,-,7,-,global,3461,-1
v = H_0 d,Hubble's law (Q179916),-,-,-,-,-,-,1,global,1626,-1
v,velocity (Q11465),3,7,4,-,-,-,-,global,3685,-1
\lambda_0,N/A (N/A),-,-,-,-,-,-,-,global,3064,-1
v_0,N/A (N/A),-,-,-,-,-,-,-,global,1385,-1
\lambda,N/A (N/A),-,-,-,-,-,-,1,global,1530,-1
H_0,N/A (N/A),-,-,-,-,-,-,-,global,1130,-1
z = \frac{v_\text{Hubble}}{c},Doppler effect and Hubble's law (N/A),-,-,-,-,-,-,-,global,8550,1483
v_\text{total} = H_0 d + v_\mathrm{pec},peculiar motion (N/A),-,-,-,-,-,-,1,global,37014,-1
lambda,wavelength (Q41364),-,5,-,-,-,2,-,global,1778,-1
1+z = \frac{f_{\mathrm{emit}}}{f_{\mathrm{obsv}}},redshift (N/A),-,-,-,-,-,6,-,global,1751,-1
1+z = \frac{\lambda_{\mathrm{obsv}}}{\lambda_{\mathrm{emit}}},redshift (N/A),-,-,-,-,-,6,-,global,2541,-1
z = \frac{f_{\mathrm{emit}} - f_{\mathrm{obsv}}}{f_{\mathrm{obsv}}},redshift (N/A),-,-,-,-,-,-,-,global,3242,1922
z = \frac{\lambda_{\mathrm{obsv}} - \lambda_{\mathrm{emit}}}{\lambda_{\mathrm{emit}}},redshift (N/A),-,-,-,-,-,-,-,global,2758,1392
