Identifier / Formula,Name,ArXiV,Wikipedia,Wikidata,Wikidata1,Wikidata2,WordWindow,FormulaConceptDB,type,time,manualSelectionTime
lambda,wavelength (Q41364),-,5,-,-,-,2,-,global,7729,-1
T,temperature (Q11466),1,3,4,-,-,5,-,global,1787,-1
b,Wien 's displacement constant (N/A),-,-,-,-,-,-,-,global,1186,-1
\lambda_\text{max} T = b,Wien's displacement law (Q214336),-,-,-,1,-,-,1,global,2055,-1
L,luminosity (N/A),-,10,-,-,-,3,-,global,3219,-1
R,radius (Q173817),1,3,1,-,-,-,-,global,1654,-1
pi,constant (Q188248),-,-,-,-,-,-,-,global,4703,-1
sigma,Stefan–Boltzmann constant (N/A),-,-,-,-,-,-,-,global,2562,-1
L= 4 \pi R^2 \sigma T^4,star (Q523),-,-,-,-,-,1,-,global,2292,-1
v,velocity (Q11465),3,7,4,-,-,-,-,global,3898,-1
c,speed of light (Q2111),-,1,2,-,-,-,-,global,1538,-1
\frac{\lambda-\lambda_0}{\lambda_0}=\frac{v_0}{c},blueshift (Q845345),-,-,-,-,-,7,1,global,2271,-1
\lambda_0,N/A (N/A),-,-,-,-,-,-,-,global,False,False
v_0,N/A (N/A),-,-,-,-,-,-,-,global,False,False
\lambda,N/A (N/A),-,-,-,-,-,-,-,global,False,False
H,Hubble's constant (N/A),-,-,-,-,-,-,-,global,6463,3012
d,distance (Q126017),-,-,3,-,-,-,-,global,3517,-1
v = H_0 d,Hubble's law (Q179916),-,-,-,-,-,-,1,global,1088,-1
H_0,N/A (N/A),-,-,-,-,-,-,-,global,False,False
z,redshift (N/A),7,-,-,-,-,1,-,global,1310,-1
f,frequency (Q11652),-,-,1,-,-,1,-,global,1319,-1
z = \frac{\lambda_{\mathrm{obsv}} - \lambda_{\mathrm{emit}}}{\lambda_{\mathrm{emit}}},redshift (N/A),-,-,-,-,-,-,1,global,1297,-1
z = \frac{f_{\mathrm{emit}} - f_{\mathrm{obsv}}}{f_{\mathrm{obsv}}},redshift (N/A),-,-,-,-,-,-,1,global,2380,-1
1+z = \frac{\lambda_{\mathrm{obsv}}}{\lambda_{\mathrm{emit}}},redshift (N/A),-,-,-,-,-,6,1,global,2335,-1
1+z = \frac{f_{\mathrm{emit}}}{f_{\mathrm{obsv}}},redshift (N/A),-,-,-,-,-,6,1,global,2444,-1
z = \frac{v_\text{Hubble}}{c},Doppler effect and Hubble's law (N/A),-,-,-,-,-,-,1,global,1638,-1
v_\text{total} = H_0 d + v_\mathrm{pec},Hubble's law (Q179916),-,-,-,-,-,-,1,global,1677,-1
